City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (deg C)
391,patterson,37.4716,-121.1297,302.65,18,100,1.61,US,1728598757,29.399999999999977
392,aksu,41.1231,80.2644,289.35,34,71,2.08,CN,1728598623,16.100000000000023
393,fort bragg,35.139,-79.006,293.61,44,0,4.63,US,1728598649,20.360000000000014
394,beipiao,41.7919,120.7792,281.25,52,0,2.27,CN,1728598760,8.0
395,decan,42.5402,20.2879,289.25,85,100,2.9,XK,1728598762,16.0
396,fisterra,42.9049,-9.2629,288.88,84,87,4.02,ES,1728598764,15.629999999999995
397,tazacorte,28.629,-17.9293,296.69,94,0,1.54,ES,1728598765,23.439999999999998
398,sarykemer,43.0,71.5,288.86,44,100,2.22,KZ,1728598766,15.610000000000014
399,pontassieve,43.7737,11.4282,289.92,87,40,1.79,IT,1728598767,16.670000000000016
400,huayin,34.5675,110.0921,290.83,57,77,3.5,CN,1728598768,17.579999999999984
401,pingliang,35.5392,106.6861,283.85,70,100,0.74,CN,1728598770,10.600000000000023
402,longjiang,47.3303,123.1836,276.98,45,76,1.21,CN,1728598771,3.730000000000018
403,choibalsan,48.0667,114.5,272.43,63,17,3.2,MN,1728598772,-0.8199999999999932
404,palanga,55.9175,21.0686,288.16,77,75,4.12,LT,1728598773,14.910000000000025
405,grand falls-windsor,48.9332,-55.6649,283.99,83,3,0.12,CA,1728598774,10.740000000000009
406,boguchar,49.9358,40.545,282.28,81,50,2.35,RU,1728598742,9.029999999999973
407,omutinskiy,56.4745,67.6709,270.2,95,100,8.54,RU,1728598776,-3.0500000000000114
408,nuuk,64.1835,-51.7216,271.49,100,100,0.51,GL,1728598777,-1.759999999999991
409,vernon,50.2581,-119.2691,289.89,34,91,1.03,CA,1728598545,16.639999999999986
410,dalmatovo,56.26,62.9362,270.51,95,100,8.23,RU,1728598780,-2.740000000000009
411,mirny,62.5353,113.9611,270.76,91,100,2.49,RU,1728598781,-2.490000000000009
412,khandyga,62.6667,135.6,272.1,78,100,2.8,RU,1728598782,-1.1499999999999773
413,sodankyla,67.4167,26.6,277.16,98,100,5.81,FI,1728598783,3.910000000000025
414,malmberget,67.1753,20.6549,273.46,100,100,1.03,SE,1728598784,0.20999999999997954
415,saudarkrokur,65.7461,-19.6394,271.99,79,73,6.04,IS,1728598661,-1.259999999999991
416,dunedin,-45.8742,170.5036,285.53,46,19,0.88,NZ,1728598786,12.279999999999973
417,port lincoln,-34.7333,135.8667,286.09,66,100,4.76,AU,1728598787,12.839999999999975
418,cidreira,-30.1811,-50.2056,291.59,90,100,10.82,BR,1728598789,18.339999999999975
420,prieska,-29.6641,22.7474,296.21,17,78,1.94,ZA,1728598791,22.95999999999998
421,cannonvale,-20.2833,148.7,297.81,68,4,5.88,AU,1728598792,24.560000000000002
422,beira,-19.8436,34.8389,296.2,78,20,4.12,MZ,1728598793,22.94999999999999
423,minas de marcona,-15.2119,-75.1103,287.61,74,32,7.52,PE,1728598794,14.360000000000014
424,toliara,-23.35,43.6667,296.88,70,61,1.92,MG,1728598795,23.629999999999995
425,marondera,-18.1853,31.5519,284.22,65,0,1.24,ZW,1728598796,10.970000000000027
426,urangan,-25.3,152.9,293.94,70,42,6.77,AU,1728598797,20.689999999999998
427,amper,9.35,9.7,296.72,87,16,0.94,NG,1728598799,23.470000000000027
428,puerto leguizamo,-0.1934,-74.7819,299.46,83,100,0.91,CO,1728598800,26.20999999999998
429,sao felix do xingu,-6.6447,-51.995,306.17,24,22,0.7,BR,1728598801,32.920000000000016
430,sola,-13.8833,167.55,299.42,78,100,7.42,VU,1728598802,26.170000000000016
431,alotau,-10.3069,150.4462,298.83,93,99,2.17,PG,1728598803,25.579999999999984
432,leava,-14.3,-178.1667,300.25,79,85,4.08,WF,1728598514,27.0
433,likiep,9.8251,169.3107,301.07,75,100,3.17,MH,1728598807,27.819999999999993
434,colonia,50.9333,6.95,284.24,91,40,4.63,DE,1728598516,10.990000000000009
435,ponto novo,-10.8628,-40.1336,304.32,30,73,5.14,BR,1728598809,31.069999999999993
436,ixtapa,20.7,-105.2,304.39,74,40,5.14,MX,1728598810,31.139999999999986
437,lisala,2.15,21.5167,294.81,96,97,0.57,CD,1728598579,21.560000000000002
438,yurimaguas,-5.9,-76.0833,306.26,44,95,1.04,PE,1728598634,33.00999999999999
439,manokwari,-0.8667,134.0833,300.3,77,68,1.95,ID,1728598813,27.05000000000001
440,hobyo,5.3505,48.5268,298.67,82,96,9.48,SO,1728598815,25.420000000000016
441,funafuti,-8.5243,179.1942,304.15,79,20,3.6,TV,1728598816,30.899999999999977
442,taulaga,-11.0553,-171.0883,301.13,76,68,5.88,AS,1728598817,27.879999999999995
443,trenggalek,-8.05,111.7167,297.22,98,75,1.23,ID,1728598610,23.970000000000027
444,mana,5.6592,-53.7767,300.09,83,99,4.25,GF,1728598819,26.839999999999975
445,ormara,25.2088,64.6357,300.65,76,0,4.93,PK,1728598821,27.399999999999977
446,tamanrasset,22.785,5.5228,299.1,24,40,1.54,DZ,1728598822,25.850000000000023
447,arteche,12.2645,125.4048,298.36,93,51,1.09,PH,1728598823,25.110000000000014
448,i-n-salah,27.1935,2.4607,306.59,22,0,3.2,DZ,1728598825,33.339999999999975
449,la'ie,21.6477,-157.9253,303.81,74,53,5.32,US,1728598826,30.560000000000002
450,paris,48.8534,2.3488,284.92,93,75,2.57,FR,1728598719,11.670000000000016
451,mersa matruh,31.3525,27.2453,296.91,62,1,2.01,EG,1728598828,23.660000000000025
452,la junta,37.985,-103.5438,304.31,11,0,3.09,US,1728598829,31.060000000000002
453,xilin hot,43.9667,116.0333,279.67,63,42,2.28,CN,1728598830,6.420000000000016
454,xining,36.6167,101.7667,280.48,77,89,1.35,CN,1728598831,7.230000000000018
455,st. john's,47.5649,-52.7093,284.8,96,75,2.57,CA,1728598631,11.550000000000011
456,oneonta,42.4529,-75.0638,281.6,81,96,4.35,US,1728598784,8.350000000000023
457,hauterive,46.0901,3.4459,283.5,90,93,1.74,FR,1728598835,10.25
458,okhotsk,59.3833,143.3,277.24,89,100,6.41,RU,1728598836,3.990000000000009
459,usinsk,65.9939,57.5281,263.97,94,21,2.24,RU,1728598837,-9.279999999999973
460,fort mcmurray,56.7268,-111.381,286.92,38,100,6.17,CA,1728598838,13.670000000000016
461,new norfolk,-42.7826,147.0587,286.44,60,66,5.44,AU,1728598839,13.189999999999998
462,las heras,-46.5419,-68.9359,283.8,37,77,10.45,AR,1728598840,10.550000000000011
463,whakatane,-37.9585,176.9854,291.21,71,87,1.79,NZ,1728598841,17.95999999999998
464,amassoma,4.9692,6.1097,297.8,94,51,1.73,NG,1728598843,24.55000000000001
465,luanda,-8.8368,13.2343,298.15,83,40,3.6,AO,1728598560,24.899999999999977
466,port blair,11.6667,92.75,300.11,76,32,0.71,IN,1728598845,26.860000000000014
467,kourou,5.1552,-52.6478,299.82,80,64,2.69,GF,1728598846,26.569999999999993
468,gimbi,9.1667,35.8333,286.23,99,100,0.87,ET,1728598847,12.980000000000018
469,la passe,45.5549,-0.8967,287.27,82,32,3.16,FR,1728598848,14.019999999999982
470,nasugbu,14.1,120.6833,297.3,89,3,1.35,PH,1728598849,24.05000000000001
471,oriximina,-1.7656,-55.8661,304.59,42,89,1.63,BR,1728598850,31.339999999999975
472,lata,40.1629,-8.3327,286.4,75,52,1.49,PT,1728598852,13.149999999999977
473,ilha de mocambique,-15.0342,40.7358,297.37,74,0,2.23,MZ,1728598853,24.120000000000005
474,trincomalee,8.5711,81.2335,298.59,86,76,5.83,LK,1728598854,25.339999999999975
475,alaghsas,17.0187,8.0168,305.25,12,22,3.45,NE,1728598796,32.0
476,niafunke,15.9322,-3.9906,308.31,22,82,2.2,ML,1728598856,35.06
477,nouadhibou,20.931,-17.0347,299.14,61,20,3.09,MR,1728598857,25.889999999999986
478,quartz hill,34.6453,-118.2181,306.15,17,0,5.81,US,1728598858,32.89999999999998
479,chadron,42.8294,-102.9999,304.97,12,0,2.06,US,1728598859,31.720000000000027
480,rikaze,29.25,88.8833,280.97,54,45,1.48,CN,1728598732,7.720000000000027
481,boulder,40.0833,-105.3505,298.6,19,0,3.09,US,1728598713,25.350000000000023
482,clarinda,40.7419,-95.0383,302.04,26,0,5.66,US,1728598863,28.79000000000002
483,alesund,62.4723,6.1549,279.23,65,40,2.57,NO,1728598864,5.980000000000018
